price;lotsize;bedrooms;bathrms;stories;driveway;recroom;fullbase;gashw;airco;garagepl;prefarea
42000;5850;3;1;2;yes;no;yes;no;no;1;no
38500;4000;2;1;1;yes;no;no;no;no;0;no
49500;3060;3;1;1;yes;no;no;no;no;0;no
60500;6650;3;1;2;yes;yes;no;no;no;0;no
61000;6360;2;1;1;yes;no;no;no;no;0;no
66000;4160;3;1;1;yes;yes;yes;no;yes;0;no
66000;3880;3;2;2;yes;no;yes;no;no;2;no
69000;4160;3;1;3;yes;no;no;no;no;0;no
83800;4800;3;1;1;yes;yes;yes;no;no;0;no
88500;5500;3;2;4;yes;yes;no;no;yes;1;no
90000;7200;3;2;1;yes;no;yes;no;yes;3;no
30500;3000;2;1;1;no;no;no;no;no;0;no
27000;1700;3;1;2;yes;no;no;no;no;0;no
36000;2880;3;1;1;no;no;no;no;no;0;no
37000;3600;2;1;1;yes;no;no;no;no;0;no
37900;3185;2;1;1;yes;no;no;no;yes;0;no
40500;3300;3;1;2;no;no;no;no;no;1;no
40750;5200;4;1;3;yes;no;no;no;no;0;no
45000;3450;1;1;1;yes;no;no;no;no;0;no
45000;3986;2;2;1;no;yes;yes;no;no;1;no
48500;4785;3;1;2;yes;yes;yes;no;yes;1;no
65900;4510;4;2;2;yes;no;yes;no;no;0;no
37900;4000;3;1;2;yes;no;no;no;yes;0;no
38000;3934;2;1;1;yes;no;no;no;no;0;no
42000;4960;2;1;1;yes;no;no;no;no;0;no
42300;3000;2;1;2;yes;no;no;no;no;0;no
43500;3800;2;1;1;yes;no;no;no;no;0;no
44000;4960;2;1;1;yes;no;yes;no;yes;0;no
44500;3000;3;1;1;no;no;no;no;yes;0;no
44900;4500;3;1;2;yes;no;no;no;yes;0;no
45000;3500;2;1;1;no;no;yes;no;no;0;no
48000;3500;4;1;2;yes;no;no;no;yes;2;no
49000;4000;2;1;1;yes;no;no;no;no;0;no
51500;4500;2;1;1;yes;no;no;no;no;0;no
61000;6360;2;1;2;yes;no;no;no;no;0;no
61000;4500;2;1;1;yes;no;no;no;yes;2;no
61700;4032;2;1;1;yes;no;yes;no;no;0;no
67000;5170;3;1;4;yes;no;no;no;yes;0;no
82000;5400;4;2;2;yes;no;no;no;yes;2;no
54500;3150;2;2;1;no;no;yes;no;no;0;no
66500;3745;3;1;2;yes;no;yes;no;no;0;no
70000;4520;3;1;2;yes;no;yes;no;yes;0;no
82000;4640;4;1;2;yes;no;no;no;no;1;no
92000;8580;5;3;2;yes;no;no;no;no;2;no
38000;2000;2;1;2;yes;no;no;no;no;0;no
